"ds","y"
"2020-05-02",687
"2020-05-01",845
"2020-04-30",643
"2020-04-29",677
"2020-04-28",957
"2020-04-27",929
"2020-04-26",833
"2020-04-25",761
"2020-04-24",623
"2020-04-23",608
"2020-04-22",518
"2020-04-21",567
"2020-04-20",440
"2020-04-19",345
"2020-04-18",560
"2020-04-17",392
"2020-04-16",283
"2020-04-15",197
"2020-04-14",252
"2020-04-13",251
"2020-04-12",216
"2020-04-11",136
"2020-04-10",166
"2020-04-09",153
"2020-04-08",225
"2020-04-07",228
"2020-04-06",279
"2020-04-05",250
"2020-04-04",126
"2020-04-03",114
"2020-04-02",54
"2020-04-01",88
"2020-03-31",59
"2020-03-30",44
"2020-03-29",28
"2020-03-28",13
"2020-03-27",12
"2020-03-26",11
"2020-03-25",25
"2020-03-24",7
"2020-03-23",13
"2020-03-22",11
"2020-03-21",10
"2020-03-20",8
"2020-03-19",10
"2020-03-18",3
"2020-03-17",38
"2020-03-16",64
"2020-03-15",17
"2020-03-14",58
"2020-03-12",238
"2020-03-11",6
"2020-03-10",3
"2020-03-09",3
"2020-03-08",1
"2020-03-07",3
"2020-03-04",5
"2020-03-02",2
"2020-03-01",1
"2020-02-29",0
"2020-02-28",0
"2020-02-27",0
"2020-02-26",0
"2020-02-25",0
"2020-02-24",0
"2020-02-23",0
"2020-02-22",0
"2020-02-21",0
"2020-02-20",0
"2020-02-19",0
"2020-02-18",0
"2020-02-17",0
"2020-02-16",0
"2020-02-15",0
"2020-02-14",0
"2020-02-13",0
"2020-02-12",0
"2020-02-11",0
"2020-02-10",0
"2020-02-09",0
"2020-02-08",0
"2020-02-07",0
"2020-02-06",0
"2020-02-05",0
"2020-02-04",0
"2020-02-03",0
"2020-02-02",0
"2020-02-01",0
"2020-01-31",0
"2020-01-30",0
"2020-01-29",0
"2020-01-28",0
"2020-01-27",0
"2020-01-26",0
"2020-01-25",0
"2020-01-24",0
"2020-01-23",0
"2020-01-22",0
"2020-01-21",0
"2020-01-20",0
"2020-01-19",0
"2020-01-18",0
"2020-01-17",0
"2020-01-16",0
"2020-01-15",0
"2020-01-14",0
"2020-01-13",0
"2020-01-12",0
"2020-01-11",0
"2020-01-10",0
"2020-01-09",0
"2020-01-08",0
"2020-01-07",0
"2020-01-06",0
"2020-01-05",0
"2020-01-04",0
"2020-01-03",0
"2020-01-02",0
"2020-01-01",0
"2019-12-31",0
